"INCIDENT_ID","OFFENSE_ID","OFFENSE_CODE","OFFENSE_CODE_EXTENSION","OFFENSE_TYPE_ID","OFFENSE_CATEGORY_ID","FIRST_OCCURRENCE_DATE","LAST_OCCURRENCE_DATE","REPORTED_DATE","INCIDENT_ADDRESS","GEO_X","GEO_Y","GEO_LON","GEO_LAT","DISTRICT_ID","PRECINCT_ID","NEIGHBORHOOD_ID","IS_CRIME","IS_TRAFFIC"
"2018312866","2018312866530901","5309","1","harassment-dv","public-disorder","5/9/2018 7:15:00 PM","","5/9/2018 8:03:00 PM","12020 E 39TH AVE","3183143","1706666","-104.84845940","39.77180180","5","512","stapleton","1","0"
"201838884","201838884544100","5441","0","traffic-accident","traffic-accident","1/17/2018 6:15:00 AM","","1/17/2018 7:53:00 AM","W 6TH AVE / N LOWELL BLVD","3130765","1689413","-105.035107","39.725323","4","411","barnum","0","1"
"2018313267","2018313267739902","7399","2","public-order-crimes-other","all-other-crimes","5/9/2018 11:10:00 PM","","5/9/2018 11:56:00 PM","1499 N BROADWAY ST","3144130","1694794","-104.987485","39.73989750","6","611","civic-center","1","0"
"2018308636","2018308636410400","4104","0","liquor-possession","drug-alcohol","5/8/2018 10:25:00 AM","","5/8/2018 10:25:00 AM","E COLFAX AVE / N DOWNING ST","3148176","1694866","-104.97309660","39.74003170","6","623","capitol-hill","1","0"
"2018309203","2018309203230300","2303","0","theft-shoplift","larceny","5/4/2018 6:35:00 PM","5/4/2018 6:43:00 PM","5/8/2018 2:34:00 PM","1505 S COLORADO BLVD","3157016","1676212","-104.94207030","39.68867780","3","312","cory-merrill","1","0"
"2018303667","2018303667357200","3572","0","drug-methampetamine-possess","drug-alcohol","5/6/2018 10:30:00 AM","","5/6/2018 1:40:00 PM","1525 N SHERMAN ST","3144770","1695019","-104.98520480","39.74050530","6","621","north-capitol-hill","1","0"
"2018308473","2018308473531200","5312","0","disturbing-the-peace","public-disorder","5/8/2018 9:11:00 AM","","5/8/2018 10:12:00 AM","","3144992","1691210","-104.98449220","39.73004540","6","623","capitol-hill","1","0"
"2018298192","2018298192131601","1316","1","harassment-stalking-dv","public-disorder","5/1/2018 8:00:00 AM","5/4/2018 7:45:00 AM","5/4/2018 7:45:00 AM","2917 S LOCUST ST","3164457","1667233","-104.91583590","39.66389990","3","323","hampden","1","0"
"2018312400","2018312400544100","5441","0","traffic-accident","traffic-accident","5/9/2018 4:51:00 PM","","5/9/2018 4:51:00 PM","","3193966","1708523","-104.80990720","39.77668010","5","521","montbello","0","1"
"2018313295","2018313295739902","7399","2","public-order-crimes-other","all-other-crimes","5/9/2018 11:20:00 PM","","5/10/2018 12:08:00 AM","1499 N BROADWAY ST","3144130","1694794","-104.987485","39.73989750","6","611","civic-center","1","0"
"2018308770","2018308770230300","2303","0","theft-shoplift","larceny","5/8/2018 11:15:00 AM","","5/8/2018 11:56:00 AM","401 16TH ST","3143533","1696058","-104.98958260","39.74337670","6","611","cbd","1","0"
"2018308735","2018308735531100","5311","0","public-fighting","all-other-crimes","5/8/2018 10:15:00 AM","","5/8/2018 1:42:00 PM","","3133499","1671467","-105.02572040","39.67601840","4","421","harvey-park","1","0"
"2018309301","2018309301357100","3571","0","drug-methampetamine-sell","drug-alcohol","5/8/2018 2:52:00 PM","","5/8/2018 5:40:00 PM","N PEORIA ST / E 45TH AVE","3183528","1708938","-104.84703170","39.77803120","5","511","montbello","1","0"
