"INCIDENT_ID","OFFENSE_ID","OFFENSE_CODE","OFFENSE_CODE_EXTENSION","OFFENSE_TYPE_ID","OFFENSE_CATEGORY_ID","FIRST_OCCURRENCE_DATE","LAST_OCCURRENCE_DATE","REPORTED_DATE","INCIDENT_ADDRESS","GEO_X","GEO_Y","GEO_LON","GEO_LAT","DISTRICT_ID","PRECINCT_ID","NEIGHBORHOOD_ID","IS_CRIME","IS_TRAFFIC"
"2016376978","2016376978521300","5213","0","weapon-unlawful-discharge-of","all-other-crimes","6/15/2016 11:31:00 PM","","6/15/2016 11:31:00 PM","","3193983","1707251","-104.80988110","39.773188","5","521","montbello","1","0"
"20186000994","20186000994239900","2399","0","theft-other","larceny","10/11/2017 12:30:00 PM","10/11/2017 4:55:00 PM","1/29/2018 5:53:00 PM","","3201943","1711852","-104.78143410","39.78564880","5","522","gateway-green-valley-ranch","1","0"
"20166003953","20166003953230500","2305","0","theft-items-from-vehicle","theft-from-motor-vehicle","3/4/2016 8:00:00 PM","4/25/2016 8:00:00 AM","4/26/2016 9:02:00 PM","2932 S JOSEPHINE ST","3152762","1667011","-104.95738110","39.66348960","3","314","wellshire","1","0"
"201872333","201872333239900","2399","0","theft-other","larceny","1/30/2018 7:20:00 PM","","1/30/2018 10:29:00 PM","705 S COLORADO BLVD","3157162","1681320","-104.941440","39.70269790","3","312","belcaro","1","0"
"2017411405","2017411405230300","2303","0","theft-shoplift","larceny","6/22/2017 8:53:00 PM","","6/23/2017 4:09:00 PM","2810 E 1ST AVE","3153211","1686545","-104.95537030","39.71710740","3","311","cherry-creek","1","0"
"201872837","201872837549900","5499","0","traf-other","all-other-crimes","1/31/2018 12:44:00 AM","","1/31/2018 1:29:00 AM","2100 BLOCK E 17TH AVE","3151310","1696020","-104.96192830","39.74314920","6","622","city-park-west","1","0"
"20186001015","20186001015230400","2304","0","theft-parts-from-vehicle","theft-from-motor-vehicle","6/1/2017 12:15:00 PM","1/26/2018 12:15:00 PM","1/26/2018 12:24:00 PM","995 N FEDERAL BLVD","3133441","1692147","-105.02554270","39.73279040","1","122","villa-park","1","0"
"201870628","201870628570700","5707","0","criminal-trespassing","all-other-crimes","1/30/2018 7:40:00 AM","","1/30/2018 10:33:00 AM","E SPEER BLVD / N GRANT ST","3145202","1688799","-104.98379430","39.72342350","3","311","speer","1","0"
"201870833","201870833540100","5401","0","traffic-accident-hit-and-run","traffic-accident","1/30/2018 9:10:00 AM","","1/30/2018 9:17:00 AM","W 13TH AVE / N CHEROKEE ST","3142965","1693682","-104.99164970","39.73686290","6","611","civic-center","0","1"
"20186001048","20186001048230500","2305","0","theft-items-from-vehicle","theft-from-motor-vehicle","1/31/2018 12:55:00 AM","1/31/2018 6:55:00 AM","1/31/2018 7:07:00 AM","2828 N ZUNI ST","3136231","1701209","-105.015451","39.75762680","1","113","highland","1","0"
"201872390","201872390357200","3572","0","drug-methampetamine-possess","drug-alcohol","1/30/2018 8:04:00 PM","","1/30/2018 10:12:00 PM","E EVANS AVE / S GRAPE ST","3161788","1672521","-104.92519730","39.67846350","3","323","goldsmith","1","0"
"20186001033","20186001033230400","2304","0","theft-parts-from-vehicle","theft-from-motor-vehicle","1/28/2018 5:25:00 AM","1/30/2018 5:25:00 PM","1/30/2018 5:42:00 PM","1220 S INCA ST","3141343","1678270","-104.99772010","39.69457850","4","422","ruby-hill","1","0"
"2016340553","2016340553230300","2303","0","theft-shoplift","larceny","5/31/2016 4:54:00 PM","","5/31/2016 6:30:00 PM","1505 S COLORADO BLVD","3156992","1676337","-104.94215290","39.68902130","3","312","cory-merrill","1","0"
"2017383968","2017383968240400","2404","0","theft-of-motor-vehicle","auto-theft","2/24/2017 4:55:00 PM","5/24/2017 8:01:00 AM","6/12/2017 3:24:00 PM","2850 W 26TH AVE","3134022","1700050","-105.02332950","39.75447730","1","121","jefferson-park","1","0"
"2016236602","2016236602230300","2303","0","theft-shoplift","larceny","4/16/2016 3:25:00 PM","","4/16/2016 4:06:00 PM","950 S QUEBEC ST","3168039","1680120","-104.90281180","39.69921370","3","321","windsor","1","0"
"20176004695","20176004695230500","2305","0","theft-items-from-vehicle","theft-from-motor-vehicle","5/28/2017 2:00:00 AM","5/28/2017 7:00:00 AM","5/28/2017 7:58:00 PM","3400 BLK N WYANDOT ST","3136548","1703738","-105.01427550","39.76456470","1","113","highland","1","0"
